year,PM25_Emissions,Region,sector,subsector,activity,capacity,longitude,latitude
2024,15.88843706,Castellar Vidrio,manufacturing,glass,50840758.81,50840758.81,2.093161,41.592341
2024,15.88843706,Saint-Gobain Glass.- Fabrica De Renedo,manufacturing,glass,50840758.81,50840758.81,-3.94758,43.35404
2024,15.88843706,"Ba Glass Spain, S.L.",manufacturing,glass,50840758.81,50840758.81,-5.581055,42.550109
2024,15.88843706,Schott Iberica,manufacturing,glass,50840758.81,50840758.81,2.227346,41.430468
2024,15.88843706,Smalticeram España,manufacturing,glass,50840758.81,50840758.81,-0.234151,39.960199
2024,15.88843706,"Saint-Gobain Isover Ibérica, S.L.",manufacturing,glass,50840758.81,50840758.81,-3.2563,40.5646
2024,15.88843706,Saint-Gobain Cristaleria,manufacturing,glass,50840758.81,50840758.81,1.588972,41.26198
2024,15.88843706,Colorobbia España,manufacturing,glass,50840758.81,50840758.81,-0.019033,40.122092
2024,15.88843706,"Vidrios Reciclados San Miguel, S.L.",manufacturing,glass,50840758.81,50840758.81,-0.582855,38.887358
2024,15.88843706,Endeka Ceramics-Vall D´Alba,manufacturing,glass,50840758.81,50840758.81,-0.006249,40.161737
2024,15.88843706,"Fábrica De Alcalá De Guadaira (Vidriera Rovira, S.L.)",manufacturing,glass,50840758.81,50840758.81,-5.833487,37.333934
2024,15.88843706,Verallia - Zgz (Anterior S.Gobain Vicasa),manufacturing,glass,50840758.81,50840758.81,-0.943928,41.59879
2024,15.88843706,Esmalglass,manufacturing,glass,50840758.81,50840758.81,-0.157894,39.946256
2024,15.88843706,Ramon Clemente,manufacturing,glass,50840758.81,50840758.81,2.327623,41.483939
2024,14.24507293,Celsa Global Steel Wire Santander plant,manufacturing,iron-and-steel,437037.3404,750000.0,-3.8413172497133,43.4449201235133
